SKU,Photo,Filename,Type,Description,Palette,Tagged Price,Tier,Featured,Notes
BP-N-015,018,PXL_20260704_173437199.jpg,Necklace,Teal aurora beads w/ sea charms & moonstone,teal/green,$55,Everyday,,Novelty sea charms
BP-N-016,019,PXL_20260704_173458486.jpg,Necklace,Delicate multicolor & gold seed-bead necklace,multicolor/gold,,Everyday,,
BP-E-003,020,PXL_20260704_173517392.jpg,Earrings,Gold wire flower earrings w/ teal stones,gold/teal,,Everyday,,
BP-B-002,021,PXL_20260704_173642163.jpg,Bracelet,White disc & gold beaded bracelet w/ charms,white/gold,,Signature,,
BP-N-017,022,PXL_20260704_173750957.jpg,Necklace,Gold chain w/ heart gemstone charms,gold/pink,,Everyday,,Assembled chain
BP-E-004,023,PXL_20260704_173831291.jpg,Earrings,Gold hoop earrings w/ black lava beads,gold/black,,Everyday,,
BP-N-018,024,PXL_20260704_174021594.jpg,Necklace,Gold chain w/ red & white disc beads,red/white/gold,,Everyday,,Assembled chain
BP-E-005,025,PXL_20260704_174101338.jpg,Earrings,Ceramic heart bead earrings (coral & gray),pink/gray,,Everyday,,
BP-E-006,026,PXL_20260704_174144008.jpg,Earrings,Red glass heart dangle earrings w/ pearl,red/pearl,,Everyday,,Heart series
BP-E-007,027,PXL_20260704_174346798.jpg,Earrings,Gold chain hoops w/ red & blue beads,red/blue/gold,,Everyday,,
BP-E-008,028,PXL_20260704_174417865.jpg,Earrings,Multicolor glass heart dangle earrings,multicolor,,Everyday,,Heart series variation
BP-E-009,029,PXL_20260704_174453599.jpg,Earrings,Green/blue/tan glass heart dangle earrings,green/blue/tan,,Everyday,,Heart series variation
BP-E-010,030,PXL_20260704_174523891.jpg,Earrings,Cream glass heart drop earrings,cream/pearl,,Everyday,,Heart series variation
BP-N-019,031,PXL_20260704_174622090.jpg,Necklace,Aqua-pearl beaded necklace w/ drop pendant,aqua/pearl,,Signature,,Elegant pendant
BP-E-011,032,PXL_20260704_174709623.jpg,Earrings,Emerald Crystal & Glass Pearl drop earrings,emerald/pearl/silver,tag: .925 posts,Signature,Y,Tagged; sterling posts
BP-N-020,033,PXL_20260704_174758612.jpg,Necklace,Aqua-white beaded strand necklace,aqua/white,,Signature,,
BP-N-021,034,PXL_20260704_175020725.jpg,Necklace,Gold crystal leaf-motif collar necklace,gold/clear,,Everyday,,Filigree costume style
BP-B-003,035,PXL_20260704_175050940.jpg,Bracelet,Cream pearl & shell coil-wrap bracelet,cream/pearl,,Signature,Y,Neutral pearl
BP-R-001,036,PXL_20260704_175123754.jpg,Ring,Bead-woven band ring (white/beige),white/beige,,Signature,,WOVEN — high labor
BP-R-002,037,PXL_20260704_175147660.jpg,Ring,Bead-woven band ring (navy/blue),navy/blue,,Signature,,WOVEN — high labor
BP-R-003,038,PXL_20260704_175229149.jpg,Ring,Bead-woven band ring (black),black,,Signature,,WOVEN — high labor
BP-N-022,039,PXL_20260704_175336083.jpg,Necklace,Gray crystal & quartz beaded necklace,gray/slate,,Signature,,Slate gemstone
BP-E-012,040,PXL_20260704_175404142.jpg,Earrings,Red & white striped bead drop earrings,red/white,,Everyday,,
BP-N-023,041,PXL_20260704_175433013.jpg,Necklace,Pearl & crystal beads w/ gold chain,cream/gold,,Signature,,
BP-N-024,042,PXL_20260704_175513775.jpg,Necklace,Blue crystal & porcelain bead statement necklace,blue/white,,Signature,Y,Blue statement
BP-E-013,043,PXL_20260704_175605780.jpg,Earrings,Teal & yellow bead-woven hoop earrings,teal/yellow,,Signature,,WOVEN — high labor
BP-N-025,044,PXL_20260704_175651443.jpg,Necklace,Aqua-pearl delicate beaded strand,aqua/pearl,,Signature,,
BP-N-026,045,PXL_20260704_175750289.jpg,Necklace,Pearl & silver beaded necklace w/ gold chain,pearl/silver,,Signature,,
BP-N-027,046,PXL_20260704_175833449.jpg,Necklace,Slate-gray & cream beaded necklace,slate/cream,,Signature,,
BP-N-028,047,PXL_20260704_175921429.jpg,Necklace,Black-pearl & cream beaded necklace,black/pearl,,Signature,,
BP-E-014,048,PXL_20260704_180009394.jpg,Earrings,Blue floral cluster & aqua heart earrings,blue/white,,Everyday,,
BP-E-015,049,PXL_20260704_180040041.jpg,Earrings,Peach/pink glass heart drop earrings,peach/pink,,Everyday,,Heart series variation
BP-E-016,050,PXL_20260704_180119733.jpg,Earrings,Blue glass heart drop earrings,blue/teal,,Everyday,,Heart series variation
BP-N-029,051,PXL_20260704_180158928.jpg,Necklace,Delicate silver chain w/ small clear beads,silver/clear,,Everyday,,Fine plain chain
BP-E-017,052,PXL_20260704_180300458.jpg,Earrings,Glass flower-cluster dangle earrings,pink/blue/white,$13,Everyday,,Multiple color variants
BP-E-018,053,PXL_20260704_180409943.jpg,Earrings,Wire-formed flower earrings w/ red glass,red/gold,,Everyday,,
BP-E-019,054,PXL_20260704_180444143.jpg,Earrings,Red flower-cluster earrings w/ pearl,red/pearl,,Everyday,,
BP-E-020,055,PXL_20260704_180511935.jpg,Earrings,Clear faceted crystal drop earrings w/ pearl,clear/crystal,,Signature,,Elegant crystal drops
BP-E-021,056,PXL_20260704_180621845.jpg,Earrings,Emerald-green rectangle stone earrings w/ pearl,green/pearl,,Signature,,Statement gemstone
BP-N-030,057,PXL_20260704_180742024.jpg,Necklace,Blue glass bead necklace w/ starfish charms,blue/gold,,Signature,Y,Coastal set w/ BP-B-004
BP-B-004,058,PXL_20260704_180812622.jpg,Bracelet,Blue glass bead bracelet w/ gold starfish,blue/gold,,Signature,,Coastal set w/ BP-N-030
BP-N-031,059,PXL_20260704_180916640.jpg,Necklace,Neutral white beaded necklace on chain,white/neutral,,Signature,,
BP-N-032,060,PXL_20260704_180931790.jpg,Necklace,Opal-white beaded necklace,white/opal,,Signature,,
BP-N-033,061,PXL_20260704_181031808.jpg,Necklace,Neutral beaded necklace w/ gold & pink accents,neutral/white,,Signature,,
BP-N-034,062,PXL_20260704_181122338.jpg,Necklace,White pearl & neutral beaded necklace,white/pearl,,Signature,,
BP-N-035,063,PXL_20260704_181155127.jpg,Necklace,Long gray-blue beaded necklace,gray/blue,,Signature,,
BP-N-036,064,PXL_20260704_181243637.jpg,Necklace,Blue & white beaded necklace w/ silver accents,blue/white/silver,,Signature,,
BP-N-037,065,PXL_20260704_181258973.jpg,Necklace,Blue & white beaded necklace,blue/white,,Signature,,
BP-N-038,066,PXL_20260704_181433555.jpg,Necklace,Turquoise-blue & white beaded necklace,turquoise/white,,Signature,,
BP-N-039,067,PXL_20260704_181549665.jpg,Necklace,Turquoise beaded necklace w/ starfish charms,turquoise/gold,,Signature,,Coastal
BP-S-001,068,PXL_20260704_183420317.jpg,Set,Neutral beaded bracelet w/ matching earrings,neutral/brown,,Signature,,Bracelet + earrings set
BP-E-022,069,PXL_20260704_183502359.jpg,Earrings,Navy pavé beaded ball drop earrings w/ pearls,navy/dark,,Signature,,
BP-E-023,070,PXL_20260704_183518437.jpg,Earrings,Bead-woven amethyst ball stud earrings,purple/navy,$35,Signature,Y,WOVEN — tagged $35
BP-N-040,071,PXL_20260704_183558846.jpg,Necklace,Gold chain w/ green tassel pendant,green/gold,,Everyday,,Tassel novelty
BP-E-024,072,PXL_20260704_183632555.jpg,Earrings,Navy beaded cluster earrings w/ gold caps,navy/gold,,Signature,,
BP-B-005,073,PXL_20260704_183658805.jpg,Bracelet,Bead-woven green & white bracelet,green/white,,Signature,,WOVEN — high labor
BP-E-025,074,PXL_20260704_183739152.jpg,Earrings,Teal flower-cluster earrings w/ gold,teal/gold,,Everyday,,
BP-E-026,075,PXL_20260704_183815685.jpg,Earrings,Green & pearl cross-shaped woven drop earrings,green/pearl/white,,Signature,,WOVEN — statement
BP-E-027,076,PXL_20260704_183930532.jpg,Earrings,Turquoise oval & coral flower Western earrings,turquoise/coral,$10,Everyday,,Southwestern
BP-E-028,077,PXL_20260704_183945802.jpg,Earrings,Turquoise oval & flower Western earrings,turquoise/silver,$10,Everyday,,Southwestern
BP-E-029,078,PXL_20260704_184014912.jpg,Earrings,Porcelain floral & red crystal drop earrings,blue/white/red,,Everyday,,
BP-E-030,079,PXL_20260704_184041741.jpg,Earrings,Blue-striped bead & red crystal drop earrings,red/white/blue,$12,Everyday,,Patriotic
BP-E-031,080,PXL_20260704_184104268.jpg,Earrings,Red/white/blue bead chain earrings w/ gold stars,red/white/blue,$14,Everyday,,Patriotic
BP-E-032,081,PXL_20260704_184127361.jpg,Earrings,Tiger's-eye brown bead cluster earrings,brown/amber,,Everyday,,Earthy
BP-B-006,082,PXL_20260704_184203166.jpg,Bracelet,"Shell, howlite & pearl neutral stretch bracelet",white/neutral,,Signature,Y,Neutral pearl
BP-E-033,083,PXL_20260704_184233043.jpg,Earrings,White flower & turquoise heart Western earrings,white/turquoise,$27,Everyday,,Enamel flower/heart
BP-S-002,084,PXL_20260704_184311501.jpg,Set,Carnelian & seed-bead bracelet w/ studs & ring,amber/white,,Everyday,,3-piece set
BP-E-034,085,PXL_20260704_184344369.jpg,Earrings,Turquoise flower & cream heart Western earrings,turquoise/cream,$27,Everyday,,Enamel flower/heart
BP-E-035,086,PXL_20260704_184401637.jpg,Earrings,White flower & coral heart Western earrings,white/coral,$27,Everyday,,Enamel flower/heart
BP-E-036,087,PXL_20260704_184426973.jpg,Earrings,Pink flower & turquoise heart Western earrings,pink/turquoise,$27,Everyday,,Enamel flower/heart
BP-E-037,088,PXL_20260704_184452809.jpg,Earrings,Red & blue bead & pearl gold drop earrings,red/blue/pearl,$15,Everyday,,Patriotic
BP-E-038,089,PXL_20260704_184513535.jpg,Earrings,Turquoise oval & flower Western earrings,turquoise/silver,$10,Everyday,,Southwestern
BP-E-039,090,PXL_20260704_184531708.jpg,Earrings,Pink flower & blue heart Western earrings,pink/blue,$27,Everyday,,Enamel flower/heart
BP-E-040,091,PXL_20260704_184836878.jpg,Earrings,Pearl & rhinestone flower rosette drop earrings,pearl/white,,Signature,,Elegant occasion
BP-N-041,092,PXL_20260704_184922391.jpg,Necklace,Green rhinestone floral station statement necklace,green/emerald,,Everyday,,Costume
BP-B-007,093,PXL_20260704_184933642.jpg,Bracelet,Thin silver chain bracelet w/ bar station,silver,,Everyday,,Plain chain
BP-E-041,094,PXL_20260704_184951732.jpg,Earrings,Coral & turquoise fringe chandelier earrings,coral/turquoise,,Everyday,,Southwestern
BP-B-008,095,PXL_20260704_185002945.jpg,Bracelet,Plain gold rope chain bracelet,gold,,Everyday,,Plain chain
BP-E-042,096,PXL_20260704_185019866.jpg,Earrings,Bead-woven pearl & navy crystal cluster earrings,pearl/navy,,Signature,Y,WOVEN — high labor
BP-E-043,097,PXL_20260704_185049152.jpg,Earrings,Blue enamel geometric hexagon dangle earrings,blue/silver,,Everyday,,Geometric novelty
BP-E-044,098,PXL_20260704_185127949.jpg,Earrings,Green tassel earrings w/ charm,green,,Everyday,,Tassel novelty
BP-E-045,099,PXL_20260704_185228525.jpg,Earrings,Gold & blue enamel sea turtle starfish earrings,gold/blue,$12,Everyday,,Ocean novelty
BP-N-042,100,PXL_20260704_185317085.jpg,Necklace,"Onyx, druzy, gold & pearl beaded necklace",black/white/gold,,Signature,Y,Elegant neutral
BP-N-043,101,PXL_20260704_185451882.jpg,Necklace,Bead-woven aqua rope necklace w/ crystal pendant,aqua/white,,Signature,Y,WOVEN — statement
BP-N-044,102,PXL_20260704_185507923.jpg,Necklace,"Rose quartz, grey agate & moonstone necklace",rose/grey/pearl,,Signature,Y,Artisan gemstone
